tweet_id,sample_type,intent,route,customer_message,grounding_shown_to_drafter,draft_reply,h_relevance,h_groundedness,h_tone,h_correctness,h_notes
587012,hard,general_complaint_nonactionable,grounded,It’s 0700 and my phone has already started this bullshit @BRAND. Restart x 1. Get it together. @BRAND,"past customer: Hey @BRAND. 5th time I’ve reset my phone today. Want to fix this? That’d be great.
---
Apple's reply: @USER We'd be thrilled to assist. Which iPhone model and what iOS version is it running? Is an app freezing or the entire device?",What's specifically failing on your iPhone? Is it an app freezing or the entire device?,,,,,
188494,random,software_feature_defect,grounded,Anyone else notice the new #IOS roll out means you can’t control the volume of your alarm? Well done @BRAND @BRAND your R&amp;D sucks!,"past customer: @BRAND In the next iOs 11.xx update at least have some dignity and add the option to adjusting snooze interval in your alarm clock!!!!!😡
---
Apple's reply: @USER Thanks for reaching out. We want to ensure your voice is heard and we welcome your feedback here: https://t.co/eTPVYVFyd8","To adjust the alarm volume, go to Settings > Sounds & Haptics > Ringtone Volume.",,,,,
2709963,random,software_feature_defect,grounded,My pictures taking to long to update @BRAND ☹️,"past customer: @BRAND my apps are taking forever to update.
---
Apple's reply: @USER We’d love to help. Does the issue persist with Wi-Fi and cellular data? Have you had a chance to restart the device?",We'd love to help. Does the issue persist with Wi-Fi and cellular data? Have you had a chance to restart the device?,,,,,
1698419,hard,software_feature_defect,grounded,@BRAND why isn’t my phone connecting to WiFi?? 😫,"past customer: @BRAND unable to connect the wifi it shows it’s connected but the wifi signal is not showing &amp; unable to connect other wifi as well.. https://t.co/CcT9BNLYE6
---
Apple's reply: @USER We would be glad to help with your Wi-Fi. Try the steps in this article: https://t.co/tdmlmF3jQa",Try restarting your router and your iPhone.,,,,,
1813719,random,software_feature_defect,grounded,@BRAND my alarm won’t sound if my ringer is off ever since the iOS 11... so now I have to sleep with my ringer on? 🤷🏽‍♂️,"past customer: .@BRAND any thoughts as to why my alarm hasn’t gone off the past two mornings? Iphone v. 11.0.3
---
Apple's reply: @USER We'd be happy to help. If you're still using iOS 11.0.3 on your device, the first thing we'd recommend is to back up your data and get the device up to date in Settings &gt; General &gt; Software Update, then test out the issue again. Let us know how it goes.",Get the device up to date in Settings > General > Software Update.,,,,,
2921538,random,software_feature_defect,grounded,@BRAND I need help regarding face ID on my iPhone X...,"past customer: @BRAND @BRAND how will iphone x recognize me with face id if I am wearing my du rag?
---
Apple's reply: @USER Great Question! You can read more about changing your appearance with Face ID here: https://t.co/etk4MmVSpa","If you're having trouble with Face ID, try adjusting your settings by going to Settings > Face ID & Passcode and selecting ""Reset Face ID"".",,,,,
2645654,random,general_complaint_nonactionable,grounded,"@BRAND - apple officially sucks - nothing works and I can't get any help. Probably spent about 6k on Apple products over the last 4 years, and the this shit is no longer working properly!!!!!","past customer: @BRAND is apple working on fixing the glitch with the latest update?
---
Apple's reply: @USER We're happy to help you with this. When you say a glitch, what behavior are you referring to specifically? Thanks.",We're here to help. Can you tell us what specifically isn't working as expected on your Apple devices?,,,,,
1224625,random,battery_drain,policy_fact,"I sat at my desk, phone in 75%... 43 minutes later I'm on 39% @BRAND wtf?",(none - fixed policy statement or canned template),"Settings > Battery shows which apps have used the most battery - worth starting there. Turning Low Power Mode on helps, and so does turning off Background App Refresh for apps that don't need it. It's also worth checking Settings > General > Software Update for a pending update.",,,,,
2974488,random,ios_version_downgrade,policy_fact,Is there a way to downgrade my iPhone 6 back to iOS 10? It upgraded to 11 against my wishes and is now basically unusable. Hey @BRAND #iOS11 sucks.,(none - fixed policy statement or canned template),Downgrading to a previous iOS version is not supported once Apple stops signing the previous build.,,,,,
2255261,hard,software_feature_defect,grounded,@BRAND Now the A-box and question mark is the first suggested word. What the hell? https://t.co/VK9HwysvrQ,"past customer: What is this stupid autocorrect question mark in a box @BRAND
---
Apple's reply: @USER Hey, thanks for reaching out! Take a look at this article and let us know if it helps you get it resolved: https://t.co/MaraeomA15",Try turning off Predictive Text in Settings > General > Keyboard.,,,,,
