tweet_id,intent,route,action,reason,final_draft,unsupported,quality_flags,n_usable,chars
1027422,software_feature_defect,grounded,auto_handle,"grounded:thread=2193488,rank=0,gated_score=0.78","Let's dig into what's going on together. Have you had a chance to apply the newest iOS update? If not, we can walk you through the steps to update and back up your iPhone.",[],[],5,171
2894696,software_feature_defect,no_usable_grounding,escalate,no_usable_grounding: zero of top-5 retrieval candidates passed gates G1-G4,,[],[],0,28
2311852,software_feature_defect,grounded,auto_handle,"grounded:thread=2020271,rank=0,gated_score=0.67",Try turning off Auto-Correct in Settings > General > Keyboard.,['path:Settings > General > Keyboard'],[],5,62
1565192,software_feature_defect,grounded,auto_handle,"grounded:thread=1415263,rank=0,gated_score=0.86",What device does this occur with? Which iOS version is shown in Settings > General > About?,['path:Settings > General > About'],[],5,91
2255261,software_feature_defect,grounded,auto_handle,"grounded:thread=1571018,rank=0,gated_score=0.78",Try turning off Predictive Text in Settings > General > Keyboard.,['path:Settings > General > Keyboard'],[],5,65
2683678,software_feature_defect,grounded,auto_handle,"grounded:thread=2373242,rank=1,gated_score=0.64","We recommend updating to the latest version of iOS. To do this, go to Settings > General > Software Update.",['path:Settings > General > Software Update'],[],3,107
1451607,software_feature_defect,grounded,auto_handle,"grounded:thread=1599703,rank=0,gated_score=0.84",We can help. Check out the steps to address this concern and DM us if we can help further.,[],[],5,90
1857444,software_feature_defect,grounded,auto_handle,"grounded:thread=798846,rank=4,gated_score=0.70",Have you restarted your iPhone since updating to iOS 11?,[],[],1,56
1472770,software_feature_defect,grounded,auto_handle,"grounded:thread=2313557,rank=0,gated_score=0.88",We'd be happy to help. Try restarting your device and see if that resolves the issue.,[],[],5,85
1583066,software_feature_defect,grounded,auto_handle,"grounded:thread=2229471,rank=0,gated_score=0.81",We'll be happy to look into this. Did you update to iOS 11.1.1?,[],[],5,63
2287263,software_feature_defect,grounded,auto_handle,"grounded:thread=659447,rank=0,gated_score=0.67","This would be a pop-up; try closing Safari and then reopening it. If the issue persists, send us a DM for further assistance.",[],[],3,125
1125400,software_feature_defect,grounded,auto_handle,"grounded:thread=583651,rank=1,gated_score=0.62","Let's work together to get your camera app back. Can you tell us what iOS version you're using? Also, have you tried to restart your iPhone?",[],[],2,140
1573740,software_feature_defect,grounded,auto_handle,"grounded:thread=2012271,rank=0,gated_score=0.80","We're sorry to hear that the ""i"" button is causing you frustration. Try restarting your device.",[],[],3,95
2035211,software_feature_defect,grounded,auto_handle,"grounded:thread=631580,rank=1,gated_score=0.72",We're sorry to hear your alarm clock isn't staying set. Try resetting your alarm clock each night by going to Settings > Clock > Alarms and selecting the alarm you want to set.,['path:Settings > Clock > Alarms and selecting the alarm you want to set'],[],3,176
545240,software_feature_defect,grounded,auto_handle,"grounded:thread=1874853,rank=0,gated_score=0.73","Try going to Settings > Notifications > WhatsApp and make sure ""Show on Lock Screen"" is turned on.",['path:Settings > Notifications > WhatsApp and make sure'],[],4,98
1813785,software_feature_defect,grounded,auto_handle,"grounded:thread=1458114,rank=0,gated_score=0.67",Reach out to a Photos advisor for help with this issue.,[],[],1,55
2583142,software_feature_defect,grounded,auto_handle,"grounded:thread=211312,rank=0,gated_score=0.68",Let's look into this together. Does the issue persist after a restart?,[],[],4,70
1552527,software_feature_defect,grounded,auto_handle,"grounded:thread=307956,rank=3,gated_score=0.74",What version of iOS are you running?,[],[],2,36
2212946,software_feature_defect,grounded,auto_handle,"grounded:thread=2036542,rank=1,gated_score=0.77",We want to help get your iPhone updated. Try restarting your iPhone and then try updating again.,[],[],3,96
2782057,software_feature_defect,grounded,auto_handle,"grounded:thread=1434432,rank=0,gated_score=0.72",We'd like to help with your Podcasts app. Please try closing the app and relaunching it to see if that resolves the issue.,[],[],4,122
1370395,software_feature_defect,grounded,auto_handle,"grounded:thread=947823,rank=1,gated_score=0.66",Restore settings.,[],[],3,17
2978335,software_feature_defect,grounded,auto_handle,"grounded:thread=2639656,rank=0,gated_score=0.65","If your Mac is no longer booting and providing a prohibitory sign, you'll want to reinstall macOS using Recovery Mode.",[],[],1,118
1300707,software_feature_defect,grounded,auto_handle,"grounded:thread=776952,rank=2,gated_score=0.81",We'd like to know more to help. Are you toggling Wi-Fi from the Settings menu or Control Center?,[],[],3,96
1160498,software_feature_defect,grounded,auto_handle,"grounded:thread=590880,rank=0,gated_score=0.72","Try these steps: Turn off Do Not Disturb, then go to Settings > Do Not Disturb > Allow Calls From and make sure it's set to ""None"".",['path:Settings > Do Not Disturb > Allow Calls From and make sure it'],[],5,131
1995723,software_feature_defect,grounded,auto_handle,"grounded:thread=1199560,rank=1,gated_score=0.58",We've got some steps that can help. Check the link to the previous thread for the workaround.,[],[],2,93
2972495,software_feature_defect,grounded,auto_handle,"grounded:thread=2408586,rank=0,gated_score=0.72","That's not the experience we want you to have. Does this green line appear all the time, or just sometimes? Let's restart your iPhone X and check again.",[],[],3,152
274967,software_feature_defect,grounded,auto_handle,"grounded:thread=1537678,rank=0,gated_score=0.84","We've noticed autocorrect changing ""it"" to ""i.t"". Try turning off autocorrect in Settings > General > Keyboard.",['path:Settings > General > Keyboard'],[],2,111
2139921,software_feature_defect,grounded,auto_handle,"grounded:thread=587010,rank=0,gated_score=0.82",Restart your iPhone and try again. The preview should still appear.,[],[],3,67
320673,software_feature_defect,grounded,auto_handle,"grounded:thread=2754775,rank=0,gated_score=0.79",escalate: no grounding found,[],[],4,28
